psi_deg,delta_DM,lo,hi,yhat
39,0.9530133238838516,-315.20521941176486,247.5690172058823,17.88398069387255
40,0.9530133238838516,-286.47878499999996,285.7298314705881,15.09632085865185
41,-12.220842005420081,-278.4514391666664,248.68093277777768,12.3250767997895
42,-12.220842005420081,-315.2263745833335,236.3019119444443,9.571092665071326
43,-12.220842005420081,-339.4571930555554,245.2452716666663,6.835207344743353
44,-12.220842005420081,-307.6776163888887,279.24067583333334,4.118254215977132
45,-12.220842005420081,-308.03222527777814,282.6752290277776,1.4210608890155356
46,-12.220842005420081,-305.2050977777776,269.45859499999955,-1.2555510449258094
47,-86.33997037562017,-380.69325029411755,181.612679705882,-3.9107662639229943
48,-86.33997037562017,-386.1642450000001,206.9638438235292,-6.543775963698565
49,-86.33997037562017,-376.15318514705876,189.19569544117627,-9.153778103991357
50,-86.33997037562017,-385.1702795588233,189.0717170588232,-11.739977652865903
51,-86.33997037562017,-332.2173338235293,144.43607911764676,-14.301586828886542
52,-86.33997037562017,-346.1971463235295,133.05178970588216,-16.83782534108329
53,-86.33997037562017,-374.3671288235296,147.5701749999998,-19.347920626636366
54,-86.33997037562017,-382.07081294117665,160.93023985294096,-21.831108086205816
55,-86.33997037562017,-355.43995073529425,173.38367647058814,-24.286631316836377
56,-86.33997037562017,-354.69904794117633,173.67979220588205,-26.71374234236481
57,-86.33997037562017,-369.54733397058817,166.883753970588,-29.111701841260768
58,-86.33997037562017,-356.98275455882356,159.9353067647056,-31.479779371831256
59,-86.33997037562017,-337.65689205882353,234.8240473529409,-33.817253594720455
60,-67.8106031372547,-352.5386946666667,197.22641183333292,-36.12341249263645
61,-67.8106031372547,-371.297587333333,236.54801116666636,-38.39755358723872
62,-67.8106031372547,-359.2020910000003,210.8880351666667,-40.63898415311968
63,-42.11738737541532,-332.2251594642857,225.34782321428509,-42.84702142881571
64,-42.11738737541532,-358.798472857143,254.93471482142812,-45.02099282478294
